game_id,game_no,team,player_name,starter,minutes,minutes_float,points,rebounds,assists,steals,blocks,turnovers,fouls,fgm,fga,fg_pct,three_pm,three_pa,three_pct,ftm,fta,ft_pct,efficiency,source_url
125122-LBN-AUS,11,Lebanon,Nour Labban,FALSE,27:29:00,27.48,11,0,1,2,0,6,1,4,13,30.8,2,6,33.3,1,2,50,-2,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS
125122-LBN-AUS,11,Lebanon,Daniella Fayad,TRUE,5:54,5.9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-1,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS
125122-LBN-AUS,11,Lebanon,Maria Ghaleb,FALSE,27:06:00,27.1,2,1,1,0,0,1,2,1,5,20,0,0,0,0,0,0,-1,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS
125122-LBN-AUS,11,Lebanon,Maygen Naassan,FALSE,26:11:00,26.18,4,7,2,0,0,1,0,2,13,15.4,0,2,0,0,0,0,1,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS
125122-LBN-AUS,11,Lebanon,Zena Ramiz Elias,TRUE,5:54,5.9,2,1,0,0,0,0,0,1,4,25,0,0,0,0,0,0,0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS
125122-LBN-AUS,11,Lebanon,Melody Saneh,FALSE,18:40,18.67,1,1,0,1,0,0,0,0,1,0,0,0,0,1,2,50,1,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS
125122-LBN-AUS,11,Australia,Chloe Bibby,FALSE,19:25,19.42,12,12,4,0,0,3,1,5,7,71.4,1,3,33.3,1,1,100,23,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS
125122-LBN-AUS,11,Australia,Alex Brooke Wilson,FALSE,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS
125122-LBN-AUS,11,Australia,Isabelle Bourne,FALSE,22:16,22.27,15,4,3,3,0,0,2,6,12,50,2,5,40,1,2,50,18,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS
125122-LBN-AUS,11,Australia,Alexandra Fowler,TRUE,19:40,19.67,11,8,6,1,0,0,3,4,6,66.7,1,1,100,2,4,50,22,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS
125122-LBN-AUS,11,Australia,Zitina Lusia Aokuso,FALSE,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS
125122-LBN-AUS,11,Australia,Isobel Borlase,TRUE,22:30,22.5,8,3,2,2,0,1,0,4,10,40,0,5,0,0,0,0,8,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS
