id,game_id,game_no,team,player_name,starter,minutes,minutes_float,points,rebounds,assists,steals,blocks,turnovers,fouls,fgm,fga,fg_pct,three_pm,three_pa,three_pct,ftm,fta,ft_pct,efficiency,source_url
526,125113-NZL-KOR,2,Korea,Haeran Lee,False,11:24,11.4,0,2,0,0,0,2,2,0,2,0.0,0,1,0.0,0,0,0.0,-2.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR
527,125113-NZL-KOR,2,Korea,Myung Kuwan Lee,False,13:21,13.35,2,1,0,1,0,0,1,1,6,16.7,0,3,0.0,0,0,0.0,-1.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR
528,125113-NZL-KOR,2,Korea,Yusun HONG,False,19:16,19.27,4,2,3,1,0,0,1,2,4,50.0,0,0,0.0,0,0,0.0,8.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125113-NZL-KOR
529,125114-KOR-CHN,3,Korea,Yusun HONG,False,11:29,11.48,3,0,1,0,0,1,2,1,3,33.3,0,1,0.0,1,2,50.0,0.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN
530,125114-KOR-CHN,3,Korea,Myung Kuwan Lee,False,16:23,16.38,0,2,2,2,0,0,2,0,6,0.0,0,4,0.0,0,0,0.0,0.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN
531,125114-KOR-CHN,3,Korea,Haeran Lee,False,15:8,15.13,0,3,0,1,0,2,0,0,2,0.0,0,0,0.0,0,0,0.0,0.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN
532,125114-KOR-CHN,3,Korea,Yoolim Kang,True,15:50,15.83,10,0,1,0,0,0,4,3,3,100.0,2,2,100.0,2,3,66.7,10.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN
533,125114-KOR-CHN,3,Korea,Jihyun Park,True,30:0,30.0,10,2,2,2,0,1,1,5,13,38.5,0,4,0.0,0,0,0.0,7.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN
534,125114-KOR-CHN,3,Korea,Juyeon Lee,False,6:43,6.72,2,0,0,0,1,0,2,1,3,33.3,0,0,0.0,0,0,0.0,1.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN
535,125114-KOR-CHN,3,Korea,Jisu Park,True,19:35,19.58,8,4,2,3,0,2,2,4,12,33.3,0,1,0.0,0,0,0.0,7.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN
536,125114-KOR-CHN,3,Korea,Isaem Choi,True,29:3,29.05,16,7,1,1,0,0,2,6,15,40.0,4,7,57.1,0,0,0.0,16.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN
537,125114-KOR-CHN,3,Korea,Yeeun Heo,False,13:21,13.35,0,2,5,0,0,1,1,0,5,0.0,0,3,0.0,0,0,0.0,1.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN
538,125114-KOR-CHN,3,Korea,Leeseul Kang,False,0:0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN
539,125114-KOR-CHN,3,Korea,Heji An,True,23:53,23.88,15,5,6,1,0,3,2,5,7,71.4,3,4,75.0,2,4,50.0,20.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN
540,125114-KOR-CHN,3,Korea,Jihyun Shin,False,18:35,18.58,5,0,3,0,0,0,2,2,9,22.2,1,5,20.0,0,0,0.0,1.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN
541,125114-KOR-CHN,3,China,Saiqi Jia,False,7:2,7.03,4,2,0,0,0,1,1,2,2,100.0,0,0,0.0,0,0,0.0,5.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN
542,125114-KOR-CHN,3,China,Ruoyun Zhai,False,14:9,14.15,3,1,1,0,0,1,0,1,1,100.0,1,1,100.0,0,0,0.0,4.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN
543,125114-KOR-CHN,3,China,ZIYU ZHANG,False,14:24,14.4,18,4,0,0,0,1,0,8,8,100.0,0,0,0.0,2,2,100.0,21.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN
544,125114-KOR-CHN,3,China,Xinyu Luo,True,17:31,17.52,2,4,2,1,0,1,1,1,6,16.7,0,4,0.0,0,0,0.0,3.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN
545,125114-KOR-CHN,3,China,Xu Han,True,23:4,23.07,18,12,1,1,2,1,0,7,13,53.8,0,2,0.0,4,5,80.0,26.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN
546,125114-KOR-CHN,3,China,Zhenqi Pan,False,3:0,3.0,1,2,0,0,0,0,0,0,0,0.0,0,0,0.0,1,2,50.0,2.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN
547,125114-KOR-CHN,3,China,Sijing Huang,False,11:34,11.57,6,2,3,0,0,2,4,1,1,100.0,1,1,100.0,3,4,75.0,8.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN
548,125114-KOR-CHN,3,China,Ru Zhang,True,19:12,19.2,10,5,2,0,0,4,4,5,8,62.5,0,0,0.0,0,0,0.0,10.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN
549,125114-KOR-CHN,3,China,Liwei Yang,False,27:15,27.25,11,4,8,1,0,1,1,5,14,35.7,1,6,16.7,0,1,0.0,13.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN
550,125114-KOR-CHN,3,China,Shuyu Yang,True,34:48,34.8,9,9,5,2,1,3,2,4,11,36.4,1,6,16.7,0,0,0.0,16.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN
551,125114-KOR-CHN,3,China,Yuan Li,True,15:49,15.82,0,0,2,0,0,1,2,0,2,0.0,0,0,0.0,0,0,0.0,-1.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN
552,125114-KOR-CHN,3,China,Siyu Wang,False,12:12,12.2,9,3,8,0,0,0,0,3,4,75.0,0,1,0.0,3,3,100.0,19.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125114-KOR-CHN
553,125115-CHN-INA,4,China,Saiqi Jia,False,8:35,8.58,3,2,1,2,0,1,3,1,2,50.0,1,1,100.0,0,0,0.0,6.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA
554,125115-CHN-INA,4,China,Ruoyun Zhai,False,23:44,23.73,12,4,3,2,0,1,0,4,8,50.0,4,7,57.1,0,0,0.0,16.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA
